genre,meta_mixed,meta_negative,meta_positive,metascore,movie_title,release_date,user_mixed,user_negative,user_positive,userscore
Drama,0,0,41,95,A Separation,30-Dec-11,32,23,591,8.9
"Action,Adventure,Sci-Fi,Mystery",17,20,4,33,After Earth,31-May-13,163,314,137,3.9
"Drama,Thriller,Horror,Musical",4,0,35,83,Sweeney Todd: The Demon Barber of Fleet Street,21-Dec-07,85,55,468,7.7
"Action,Mystery,Thriller,Comedy,Crime",5,1,45,70,The Nice Guys,20-May-16,71,37,488,7.6
"Action,Drama,War",1,0,14,94,Apocalypse Now,15-Aug-79,33,19,492,8.8
"Drama,Mystery,Romance,War",3,0,33,85,Atonement,7-Dec-07,63,53,425,7.9
"Action,Sci-Fi,Drama,Thriller,Crime",3,0,22,82,Face/Off,27-Jun-97,33,17,486,8.8
"Biography,Drama,Romance",11,0,36,72,The Theory of Everything,7-Nov-14,62,23,437,7.8
"Drama,History,Thriller",9,0,30,74,Munich,23-Dec-05,60,39,385,8
Comedy,16,4,21,58,The Dictator,16-May-12,136,75,273,6.4
"Drama,Mystery,Thriller,Crime",3,1,32,78,Insomnia,24-May-02,45,7,431,8.4
"Action,Thriller",26,5,19,58,Jason Bourne,29-Jul-16,174,51,246,6.4
"Drama,Mystery,Thriller,Fantasy,Horror,Romance",3,0,32,79,Let Me In,1-Oct-10,39,16,410,8.5
"Action,Adventure,History",0,0,42,85,Hero,27-Aug-04,17,19,427,9.1
"Comedy,Romance",7,1,23,69,Amélie,2-Nov-01,27,74,348,7.5
"Action,Adventure,Drama,Thriller",9,3,23,64,The Grey,27-Jan-12,101,44,297,7
"Adventure,Drama,Fantasy,Family",14,0,23,71,Where the Wild Things Are,16-Oct-09,60,102,240,6.5
"Drama,Romance,Music",0,0,33,88,Once,16-May-07,27,39,294,8.2
"Adventure,Biography,Drama,History,Thriller",14,1,24,64,Everest,18-Sep-15,97,17,234,7
"Action,Drama,History,Thriller",7,2,33,73,The Impossible,21-Dec-12,36,18,291,7.9
"Adventure,Drama",2,0,43,86,Nebraska,15-Nov-13,30,13,283,8
Drama,10,2,29,72,Shame,2-Dec-11,51,12,250,7.8
"Action,Mystery,Thriller,Horror,Comedy,Crime",11,0,30,66,Game Night,23-Feb-18,70,14,225,7.2
"Comedy,Animation,Family",1,0,33,88,Chicken Run,21-Jun-00,36,9,258,8.2
"Drama,Comedy,Romance",8,2,26,72,Captain Fantastic,8-Jul-16,29,16,257,7.8
"Action,Biography,Drama,History,Sport,War",22,1,25,59,Unbroken,25-Dec-14,83,43,171,6.5
"Action,Adventure,Drama,Comedy,War",3,0,31,82,Three Kings,1-Oct-99,16,10,252,8.8
"Action,Drama,War",8,1,24,74,Black Hawk Down,28-Dec-01,21,14,243,8
"Action,Adventure,Thriller,Fantasy",12,19,2,31,The Mummy: Tomb of the Dragon Emperor,1-Aug-08,66,148,60,3.7
"Drama,Comedy,Romance,Crime",13,5,24,56,Focus,27-Feb-15,113,31,119,6.2
"Action,Adventure,Thriller",14,6,5,42,xXx: Return of Xander Cage,20-Jan-17,92,95,75,4.8
"Drama,Mystery,Thriller,Crime",3,0,31,72,Gone Baby Gone,19-Oct-07,32,11,210,7.8
"Biography,Drama",3,0,43,85,Fruitvale Station,12-Jul-13,20,13,219,7.9
"Adventure,Fantasy,Comedy,Animation,Family",0,0,38,88,Paddington 2,12-Jan-18,19,12,218,8.2
Drama,5,0,43,79,Fences,16-Dec-16,33,20,189,7.3
Documentary,3,2,27,75,An Inconvenient Truth,24-May-06,14,29,199,8.1
"Adventure,Drama,Comedy",7,2,26,67,The Darjeeling Limited,29-Sep-07,37,25,180,7.3
"Drama,Thriller,Crime",10,7,24,59,Savages,6-Jul-12,72,35,122,6.5
Horror,15,5,2,40,Paranormal Activity 4,18-Oct-12,74,89,66,4.6
"Drama,Comedy,Romance",3,0,30,83,Election,23-Apr-99,10,6,208,8.9
"Drama,Crime",8,0,28,69,The Drop,12-Sep-14,38,12,170,7.5
"Biography,Drama",14,4,24,59,J. Edgar,9-Nov-11,85,21,114,6.5
"Drama,Comedy",19,14,3,36,Sex Tape,18-Jul-14,49,130,33,3
"Adventure,Mystery,Fantasy",7,1,22,65,The Imaginarium of Doctor Parnassus,25-Dec-09,60,16,134,7.1
"Drama,Comedy,Romance,Music,Musical",1,0,37,79,Sing Street,15-Apr-16,10,2,194,8.5
"Drama,Mystery,Thriller,Romance,Crime",1,3,32,80,The Secret in Their Eyes,16-Apr-10,15,5,180,8.6
"Adventure,Fantasy,Family",20,1,12,53,The Chronicles of Narnia: The Voyage of the Dawn Treader,10-Dec-10,88,25,83,5.9
"Drama,Thriller",6,5,26,68,We Need to Talk About Kevin,9-Dec-11,36,13,146,7.4
"Drama,Comedy",16,0,26,67,T2 Trainspotting,17-Mar-17,38,14,140,7.3
"Drama,Comedy",6,1,35,71,Young Adult,9-Dec-11,50,25,112,6.5
"Sci-Fi,Drama,Thriller",21,6,5,43,The Circle,28-Apr-17,76,59,50,4.9
"Drama,Comedy",2,0,32,86,The Great Beauty,15-Nov-13,17,12,153,8
Documentary,9,3,24,61,Capitalism: A Love Story,23-Sep-09,13,45,124,6.7
"Adventure,Fantasy,Comedy,Romance,Animation,Family",6,1,20,67,The Book of Life,17-Oct-14,29,13,126,7.3
"Thriller,Horror",5,8,8,46,Hostel: Part II,8-Jun-07,53,44,53,5.2
"Sci-Fi,Drama,Mystery,Thriller",9,1,4,53,Quarantine,10-Oct-08,36,40,72,5.9
"Drama,Mystery,Thriller,Horror",6,11,2,32,Boogeyman,4-Feb-05,12,86,46,3.8
"Action,Adventure,Fantasy,Family",13,14,4,38,The Adventures of Sharkboy and Lavagirl 3-D,10-Jun-05,25,70,47,4.4
Horror,3,0,13,79,Poltergeist,4-Jun-82,6,3,131,8.5
"Biography,Drama,Music",6,1,28,73,I'm Not There.,21-Nov-07,26,26,86,6.7
"Thriller,Horror",5,20,2,17,Bless the Child,11-Aug-00,9,121,8,1.1
"Drama,Crime",0,1,18,93,Badlands,15-Oct-73,9,4,123,8.7
"Comedy,Romance,Musical",20,2,24,60,Mamma Mia! Here We Go Again,20-Jul-18,30,24,82,6.6
"Crime,Documentary",0,0,31,89,Man on Wire,25-Jul-08,13,6,116,8.3
Comedy,7,9,20,57,Bad Words,14-Mar-14,35,18,74,6.3
"Biography,Drama,Crime,Music",23,6,4,45,Get Rich or Die Tryin',9-Nov-05,7,56,63,5.1
Action,8,4,7,51,The Man with the Iron Fists,2-Nov-12,51,26,48,5.7
